AÑO,ENTIDAD,MUNICIPIO,POBLACION_TOTAL_ESTIMADA,POBLACION_MENOR_49
2020,Durango,Canatlán,31401,22608
2020,Durango,Canelas,4321,3111
2020,Durango,Coneto de Comonfort,4530,3261
2020,Durango,Cuencamé,33664,24238
2020,Durango,Durango,688697,495861
2020,Durango,General Simón Bolívar,10038,7227
2020,Durango,Gómez Palacio,372750,268380
2020,Durango,Guadalupe Victoria,36695,26420
2020,Durango,Guanaceví,9869,7105
2020,Durango,Hidalgo,3843,2766
2020,Durango,Indé,4748,3418
2020,Durango,Lerdo,163313,117585
2020,Durango,Mapimí,32514,23410
2020,Durango,Mezquital,48583,34979
2020,Durango,Nazas,12894,9283
2020,Durango,Nombre de Dios,19060,13723
2020,Durango,Ocampo,8003,5762
2020,Durango,El Oro,10384,7476
2020,Durango,Otáez,4924,3545
2020,Durango,Pánuco de Coronado,12656,9112
2020,Durango,Peñón Blanco,11118,8004
2020,Durango,Poanas,25623,18448
2020,Durango,Pueblo Nuevo,51269,36913
2020,Durango,Rodeo,12826,9234
2020,Durango,San Bernardo,2837,2042
2020,Durango,San Dimas,17333,12479
2020,Durango,San Juan de Guadalupe,5251,3780
2020,Durango,San Juan del Río,12213,8793
2020,Durango,San Luis del Cordero,2103,1514
2020,Durango,San Pedro del Gallo,1633,1175
2020,Durango,Santa Clara,6727,4843
2020,Durango,Santiago Papasquiaro,49207,35429
2020,Durango,Súchil,6928,4988
2020,Durango,Tamazula,26368,18984
2020,Durango,Tepehuanes,11378,8192
2020,Durango,Tlahualilo,21223,15280
2020,Durango,Topia,9320,6710
2020,Durango,Vicente Guerrero,23476,16902
2020,Durango,Nuevo Ideal,27981,20146
2021,Durango,Canatlán,31777,22879
2021,Durango,Canelas,4372,3147
2021,Durango,Coneto de Comonfort,4584,3300
2021,Durango,Cuencamé,34067,24528
2021,Durango,Durango,696961,501811
2021,Durango,General Simón Bolívar,10158,7313
2021,Durango,Gómez Palacio,377223,271600
2021,Durango,Guadalupe Victoria,37135,26737
2021,Durango,Guanaceví,9987,7190
2021,Durango,Hidalgo,3889,2800
2021,Durango,Indé,4804,3458
2021,Durango,Lerdo,165272,118995
2021,Durango,Mapimí,32904,23690
2021,Durango,Mezquital,49165,35398
2021,Durango,Nazas,13048,9394
2021,Durango,Nombre de Dios,19288,13887
2021,Durango,Ocampo,8099,5831
2021,Durango,El Oro,10508,7565
2021,Durango,Otáez,4983,3587
2021,Durango,Pánuco de Coronado,12807,9221
2021,Durango,Peñón Blanco,11251,8100
2021,Durango,Poanas,25930,18669
2021,Durango,Pueblo Nuevo,51884,37356
2021,Durango,Rodeo,12979,9344
2021,Durango,San Bernardo,2871,2067
2021,Durango,San Dimas,17540,12628
2021,Durango,San Juan de Guadalupe,5314,3826
2021,Durango,San Juan del Río,12359,8898
2021,Durango,San Luis del Cordero,2128,1532
2021,Durango,San Pedro del Gallo,1652,1189
2021,Durango,Santa Clara,6807,4901
2021,Durango,Santiago Papasquiaro,49797,35853
2021,Durango,Súchil,7011,5047
2021,Durango,Tamazula,26684,19212
2021,Durango,Tepehuanes,11514,8290
2021,Durango,Tlahualilo,21477,15463
2021,Durango,Topia,9431,6790
2021,Durango,Vicente Guerrero,23757,17105
2021,Durango,Nuevo Ideal,28316,20387
2022,Durango,Canatlán,32159,23154
2022,Durango,Canelas,4425,3186
2022,Durango,Coneto de Comonfort,4639,3340
2022,Durango,Cuencamé,34476,24822
2022,Durango,Durango,705324,507833
2022,Durango,General Simón Bolívar,10280,7401
2022,Durango,Gómez Palacio,381749,274859
2022,Durango,Guadalupe Victoria,37580,27057
2022,Durango,Guanaceví,10107,7277
2022,Durango,Hidalgo,3935,2833
2022,Durango,Indé,4862,3500
2022,Durango,Lerdo,167256,120424
2022,Durango,Mapimí,33299,23975
2022,Durango,Mezquital,49755,35823
2022,Durango,Nazas,13205,9507
2022,Durango,Nombre de Dios,19520,14054
2022,Durango,Ocampo,8196,5901
2022,Durango,El Oro,10634,7656
2022,Durango,Otáez,5042,3630
2022,Durango,Pánuco de Coronado,12961,9331
2022,Durango,Peñón Blanco,11386,8197
2022,Durango,Poanas,26241,18893
2022,Durango,Pueblo Nuevo,52506,37804
2022,Durango,Rodeo,13135,9457
2022,Durango,San Bernardo,2905,2091
2022,Durango,San Dimas,17751,12780
2022,Durango,San Juan de Guadalupe,5377,3871
2022,Durango,San Juan del Río,12507,9005
2022,Durango,San Luis del Cordero,2153,1550
2022,Durango,San Pedro del Gallo,1672,1203
2022,Durango,Santa Clara,6889,4960
2022,Durango,Santiago Papasquiaro,50395,36284
2022,Durango,Súchil,7095,5108
2022,Durango,Tamazula,27004,19442
2022,Durango,Tepehuanes,11652,8389
2022,Durango,Tlahualilo,21735,15649
2022,Durango,Topia,9545,6872
2022,Durango,Vicente Guerrero,24042,17310
2022,Durango,Nuevo Ideal,28656,20632
2023,Durango,Canatlán,32545,23432
2023,Durango,Canelas,4478,3224
2023,Durango,Coneto de Comonfort,4695,3380
2023,Durango,Cuencamé,34890,25120
2023,Durango,Durango,713788,513927
2023,Durango,General Simón Bolívar,10403,7490
2023,Durango,Gómez Palacio,386330,278157
2023,Durango,Guadalupe Victoria,38031,27382
2023,Durango,Guanaceví,10228,7364
2023,Durango,Hidalgo,3983,2867
2023,Durango,Indé,4920,3542
2023,Durango,Lerdo,169263,121869
2023,Durango,Mapimí,33698,24262
2023,Durango,Mezquital,50353,36254
2023,Durango,Nazas,13363,9621
2023,Durango,Nombre de Dios,19754,14222
2023,Durango,Ocampo,8294,5971
2023,Durango,El Oro,10762,7748
2023,Durango,Otáez,5103,3674
2023,Durango,Pánuco de Coronado,13117,9444
2023,Durango,Peñón Blanco,11523,8296
2023,Durango,Poanas,26556,19120
2023,Durango,Pueblo Nuevo,53136,38257
2023,Durango,Rodeo,13293,9570
2023,Durango,San Bernardo,2940,2116
2023,Durango,San Dimas,17964,12934
2023,Durango,San Juan de Guadalupe,5442,3918
2023,Durango,San Juan del Río,12657,9113
2023,Durango,San Luis del Cordero,2179,1568
2023,Durango,San Pedro del Gallo,1692,1218
2023,Durango,Santa Clara,6972,5019
2023,Durango,Santiago Papasquiaro,50999,36719
2023,Durango,Súchil,7180,5169
2023,Durango,Tamazula,27328,19676
2023,Durango,Tepehuanes,11792,8490
2023,Durango,Tlahualilo,21996,15837
2023,Durango,Topia,9659,6954
2023,Durango,Vicente Guerrero,24331,17518
2023,Durango,Nuevo Ideal,29000,20880
2024,Durango,Canatlán,32935,23713
2024,Durango,Canelas,4532,3263
2024,Durango,Coneto de Comonfort,4751,3420
2024,Durango,Cuencamé,35309,25422
2024,Durango,Durango,722354,520094
2024,Durango,General Simón Bolívar,10528,7580
2024,Durango,Gómez Palacio,390966,281495
2024,Durango,Guadalupe Victoria,38488,27711
2024,Durango,Guanaceví,10351,7452
2024,Durango,Hidalgo,4030,2901
2024,Durango,Indé,4980,3585
2024,Durango,Lerdo,171294,123331
2024,Durango,Mapimí,34102,24553
2024,Durango,Mezquital,50957,36689
2024,Durango,Nazas,13524,9737
2024,Durango,Nombre de Dios,19991,14393
2024,Durango,Ocampo,8394,6043
2024,Durango,El Oro,10891,7841
2024,Durango,Otáez,5164,3718
2024,Durango,Pánuco de Coronado,13274,9557
2024,Durango,Peñón Blanco,11661,8395
2024,Durango,Poanas,26875,19350
